Station ID,Capacities
72,39
79,33
82,27
83,62
119,19
120,19
127,31
128,30
143,24
144,19
146,39
150,31
151,33
157,23
161,35
164,47
167,45
168,47
173,51
174,30
195,45
212,28
216,23
217,39
223,33
228,55
229,23
232,23
236,39
237,39
238,31
239,31
241,23
242,23
243,31
244,31
245,23
248,23
249,27
251,27
252,33
253,55
254,31
257,39
258,23
259,39
260,35
261,27
262,24
264,27
265,35
266,24
267,57
268,27
270,23
274,31
275,19
276,25
278,19
279,36
280,31
281,57
282,27
285,51
289,19
291,20
293,55
295,24
296,35
297,27
301,37
302,23
303,31
304,33
305,33
306,17
307,31
308,27
309,41
310,36
311,31
312,31
313,23
314,39
315,29
317,27
319,33
320,39
321,27
322,31
323,39
324,51
325,35
326,27
327,39
328,23
330,39
331,27
332,24
335,27
336,36
337,37
339,24
340,27
341,19
342,29
343,23
344,23
345,35
346,27
347,35
349,23
350,28
351,39
353,27
354,23
355,43
356,23
357,27
358,36
359,53
360,39
361,43
362,57
363,49
364,27
365,31
366,33
368,39
369,35
372,27
373,19
376,43
377,45
379,42
380,39
382,36
383,39
386,43
387,39
389,27
390,31
391,31
392,35
393,31
394,32
396,25
397,27
398,31
399,27
400,15
401,42
402,39
403,31
405,40
406,34
407,37
408,23
409,19
410,35
411,23
412,29
414,24
415,42
416,31
417,23
418,23
419,23
420,23
421,19
422,55
423,27
426,30
427,47
432,29
433,39
435,47
436,27
437,24
438,41
439,39
440,32
441,35
442,51
443,23
445,42
446,39
447,23
448,31
450,59
453,39
454,35
455,39
456,35
457,39
458,31
459,49
460,23
461,39
462,47
465,39
466,35
467,34
468,49
469,57
471,31
472,41
473,38
474,47
476,47
477,59
478,31
479,31
480,27
481,25
482,39
483,35
484,44
485,39
486,39
487,36
490,59
491,53
492,61
495,25
496,47
497,59
498,30
499,36
500,52
501,43
502,30
503,29
504,45
505,36
507,39
508,24
509,36
513,27
514,52
516,31
517,59
518,39
519,61
520,39
522,51
523,51
524,55
525,39
526,39
527,59
528,39
529,41
530,24
531,39
532,43
534,31
536,29
537,39
539,31
540,30
545,26
546,38
2000,30
2001,15
2002,27
2003,39
2005,12
2006,49
2008,24
2009,35
2010,39
2012,36
2021,43
2022,33
3002,25
3016,47
3041,24
3042,19
3043,19
3044,27
3046,19
3047,21
3048,19
3049,18
3050,21
3052,23
3053,23
3054,19
3055,23
3056,23
3057,18
3058,24
3059,19
3060,19
3061,21
3062,23
3063,20
3064,23
3065,27
3066,19
3067,27
3068,24
3069,25
3070,23
3071,19
3072,24
3073,27
3074,31
3075,33
3076,24
3077,33
3078,27
3080,21
3081,23
3082,25
3083,30
3085,25
3086,25
3087,30
3088,19
3090,31
3091,31
3092,27
3093,28
3094,18
3095,23
3096,39
3100,39
3101,27
3102,27
3105,24
3106,19
3107,39
3108,24
3109,31
3110,27
3112,33
3113,27
3115,34
3116,35
3117,27
3118,30
3119,45
3120,20
3121,27
3122,31
3123,27
3124,27
3125,23
3126,34
3127,35
3128,23
3129,31
3131,31
3132,35
3134,51
3135,41
3136,47
3137,31
3139,43
3140,55
3141,59
3142,41
3143,47
3144,46
3145,45
3146,47
3147,39
3150,47
3151,43
3152,42
3156,39
3157,27
3158,31
3159,31
3160,39
3161,59
3162,39
3163,43
3164,67
3165,51
3166,41
3167,55
3168,31
3169,39
3170,35
3171,39
3172,27
3173,39
3175,31
3177,63
3178,39
3179,23
3180,31
3221,27
3223,54
3226,45
3232,31
3233,39
3235,31
3236,33
3241,19
3242,39
3243,29
3244,31
3249,19
3255,19
3256,22
3258,37
3260,31
3263,59
3345,35
3357,35
